sqft_living,grade,sqft_above,sqft_living15,bathrooms,price
1180,7,1180,1340,1.0,221900.0
2570,7,2170,1690,2.25,538000.0
770,6,770,2720,1.0,180000.0
1960,7,1050,1360,3.0,604000.0
1680,8,1680,1800,2.0,510000.0
5420,11,3890,4760,4.5,1225000.0
1715,7,1715,2238,2.25,257500.0
1060,7,1060,1650,1.5,291850.0
1780,7,1050,1780,1.0,229500.0
1890,7,1890,2390,2.5,323000.0
3560,8,1860,2210,2.5,662500.0
1160,7,860,1330,1.0,468000.0
1430,7,1430,1780,1.0,310000.0
1370,7,1370,1370,1.75,400000.0
1810,7,1810,1360,2.0,530000.0
2950,9,1980,2140,3.0,650000.0
1890,7,1890,1890,2.0,395000.0
1600,7,1600,1610,1.0,485000.0
1200,7,1200,1060,1.0,189000.0
1250,7,1250,1280,1.0,230000.0
1620,7,860,1400,1.75,385000.0
3050,9,2330,4110,2.75,2000000.0
2270,8,2270,2240,2.5,285000.0
1070,7,1070,1220,1.5,252700.0
2450,8,2450,2200,2.25,329000.0
1710,6,1710,1030,2.0,233000.0
2450,8,1750,1760,1.75,937000.0
1400,8,1400,1860,1.0,667000.0
1520,7,790,1520,1.75,438000.0
2570,8,2570,2630,2.5,719000.0
2320,8,2320,2580,2.5,580500.0
1190,7,1190,1390,1.5,280000.0
2330,7,1510,1460,1.75,687500.0
1090,8,1090,1570,1.0,535000.0
2060,7,1280,2020,2.75,322500.0
2300,8,1510,1590,2.5,696000.0
1660,5,930,2160,1.0,550000.0
2360,8,2360,1730,2.0,640000.0
1220,7,890,1290,1.0,240000.0
2620,8,2620,2620,2.5,605000.0
2570,9,2570,2470,2.5,625000.0
4220,8,2600,2410,2.25,775000.0
3595,9,3595,3625,2.75,861990.0
1570,7,1570,1580,1.0,685000.0
1280,6,920,1340,1.0,309000.0
3160,8,3160,3050,2.5,488000.0
990,6,990,1228,1.0,210490.0
2290,9,2290,2680,2.5,785000.0
1250,7,1250,970,1.75,450000.0
2753,9,2165,2680,2.5,1350000.0
1190,7,1190,1190,1.0,228000.0
3150,8,1640,1990,2.5,345000.0
1410,7,1000,1410,1.75,600000.0
1980,7,990,1480,1.75,585000.0
2730,8,2130,2730,2.25,920000.0
2830,9,2830,1950,2.5,885000.0
2250,7,2250,2250,2.5,292500.0
2420,8,2420,2690,2.5,301000.0
3250,8,3250,2960,3.25,951000.0
1850,8,1850,2270,3.0,430000.0
